                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.72371,                0.57272,                 1.0725,                0.81345,                0.63205,                 1.0965,                0.76591,                0.75723,                0.81226,                0.60089,                0.90321,                0.70768,                 1.1285,                0.97513,                0.85085,                 1.1201,             0.00085284,             0.00085284,             0.00085284
                     77,                0.72479,                0.54322,                 1.0666,                0.80222,                0.59258,                  1.083,                0.86775,                0.74846,                0.83505,                0.63278,                0.86079,                0.64763,                 1.0927,                0.93774,                0.75989,                 1.1013,             0.00084184,             0.00084184,             0.00084184
                     78,                0.73067,                0.55139,                 1.0593,                 0.8171,                 0.6105,                 1.0692,                0.79088,                0.80245,                0.84897,                0.62827,                0.90712,                0.64066,                 1.1233,                 0.9676,                0.78392,                 1.1211,             0.00083083,             0.00083083,             0.00083083
                     79,                0.73384,                0.53848,                 1.0586,                0.80078,                0.58737,                 1.0724,                0.79949,                0.78146,                0.84327,                0.64008,                0.87317,                 0.6388,                 1.1218,                0.94199,                0.79743,                  1.118,             0.00081983,             0.00081983,             0.00081983
                     80,                0.76568,                0.60312,                 1.0919,                 0.8288,                0.67246,                 1.1013,                0.82534,                0.77649,                0.83711,                0.63251,                 0.8846,                0.69823,                 1.1085,                0.95197,                0.79387,                 1.1105,             0.00080883,             0.00080883,             0.00080883
                     81,                0.73235,                0.52827,                 1.0631,                0.81042,                0.57094,                  1.075,                0.83586,                0.79972,                0.85726,                0.65259,                0.86932,                0.61604,                 1.1231,                0.92954,                0.73077,                 1.1109,             0.00079783,             0.00079783,             0.00079783
                     82,                0.74637,                0.55885,                 1.0706,                0.83109,                0.63492,                 1.0871,                 0.8746,                0.74739,                0.83767,                 0.6399,                0.85735,                0.61262,                 1.0958,                0.93345,                0.71479,                 1.0941,             0.00078682,             0.00078682,             0.00078682
                     83,                0.69708,                0.50616,                 1.0406,                0.76995,                0.55635,                 1.0529,                0.87412,                0.72548,                 0.8289,                0.63618,                0.84174,                0.64186,                 1.0833,                0.92511,                0.76778,                 1.0854,             0.00077582,             0.00077582,             0.00077582
                     84,                0.70591,                 0.5203,                 1.0472,                0.75987,                0.54745,                 1.0548,                0.90724,                0.77045,                0.86593,                0.66569,                 0.8499,                0.57477,                 1.0887,                0.95197,                0.68756,                 1.1037,             0.00076482,             0.00076482,             0.00076482
                     85,                 0.6835,                0.50829,                 1.0448,                0.77093,                0.55081,                 1.0644,                0.89438,                0.71265,                0.83326,                0.61869,                0.91729,                0.66879,                  1.157,                0.97245,                0.77246,                 1.1441,             0.00075382,             0.00075382,             0.00075382
                     86,                0.72006,                0.56313,                  1.057,                0.78806,                0.60954,                 1.0709,                0.87912,                0.77549,                0.85028,                 0.6459,                0.88444,                0.62137,                 1.1183,                0.96463,                0.68828,                 1.1166,             0.00074282,             0.00074282,             0.00074282
                     87,                0.71774,                0.51706,                 1.0736,                0.79222,                0.54695,                  1.088,                0.91367,                0.76772,                  0.861,                0.63584,                0.91643,                0.60104,                 1.1453,                0.98708,                0.68835,                 1.1545,             0.00073181,             0.00073181,             0.00073181
                     88,                0.68869,                0.50536,                 1.0482,                0.76261,                0.54056,                 1.0667,                0.82876,                0.75822,                0.84719,                0.65681,                0.85297,                0.60253,                 1.1037,                 0.9108,                0.72054,                  1.096,             0.00072081,             0.00072081,             0.00072081
                     89,                0.66196,                 0.4912,                 1.0193,                0.72818,                0.51063,                 1.0337,                 0.8196,                 0.7948,                 0.8545,                0.65791,                0.86959,                0.60265,                   1.12,                0.92154,                0.73608,                 1.1061,             0.00070981,             0.00070981,             0.00070981
                     90,                0.70369,                0.50621,                 1.0419,                0.77495,                0.54377,                 1.0579,                0.86385,                0.79633,                0.86251,                0.66517,                0.84623,                0.57698,                 1.0991,                0.91749,                0.64699,                 1.1046,             0.00069881,             0.00069881,             0.00069881
                     91,                0.68764,                0.51059,                 1.0459,                0.75931,                0.56314,                 1.0537,                0.88385,                 0.7839,                0.85202,                0.65165,                 0.8799,                 0.5989,                 1.1185,                0.94351,                0.67724,                 1.1276,              0.0006878,              0.0006878,              0.0006878
                     92,                0.69598,                 0.5363,                 1.0452,                0.77798,                0.60124,                 1.0609,                0.84999,                0.75829,                0.83423,                0.63649,                0.86897,                0.63674,                 1.1268,                0.93604,                0.76484,                 1.1355,              0.0006768,              0.0006768,              0.0006768
                     93,                0.69551,                0.50014,                 1.0469,                0.77434,                0.55953,                 1.0623,                0.82999,                0.79676,                0.84607,                0.65445,                0.88167,                0.56977,                  1.135,                0.95834,                0.69557,                 1.1436,              0.0006658,              0.0006658,              0.0006658
                     94,                 0.6667,                0.48085,                 1.0363,                0.74814,                 0.5214,                 1.0584,                 0.8532,                0.78485,                0.86306,                0.65502,                0.86354,                0.55058,                 1.1128,                0.94021,                0.66307,                 1.1192,              0.0006548,              0.0006548,              0.0006548
                     95,                0.66705,                0.47306,                 1.0376,                0.73362,                0.50554,                 1.0505,                 0.8585,                0.73622,                0.83883,                0.63662,                0.85108,                0.60767,                 1.0992,                0.91124,                0.75931,                 1.0876,              0.0006438,              0.0006438,              0.0006438
                     96,                0.68017,                0.49449,                 1.0445,                0.75467,                0.52365,                 1.0585,                0.83539,                0.78189,                 0.8414,                0.64228,                0.84561,                0.62036,                 1.0782,                0.91107,                0.75356,                 1.0788,             0.00063279,             0.00063279,             0.00063279
                     97,                0.69244,                0.51587,                 1.0545,                0.77047,                0.56266,                 1.0693,                0.88307,                0.77412,                0.86512,                0.66899,                0.84464,                0.57323,                 1.0901,                0.89943,                0.66451,                 1.0762,             0.00062179,             0.00062179,             0.00062179
                     98,                0.70285,                0.48607,                 1.0389,                0.77122,                0.49145,                 1.0482,                  0.839,                0.82444,                 0.8653,                0.66522,                0.86484,                0.57639,                  1.091,                0.91943,                0.67119,                 1.0802,             0.00061079,             0.00061079,             0.00061079
                     99,                0.68323,                0.48297,                 1.0377,                0.74113,                0.49158,                 1.0427,                0.87106,                0.79611,                0.87298,                0.66733,                0.84401,                 0.5561,                 1.0837,                0.91504,                0.65126,                 1.0814,             0.00059979,             0.00059979,             0.00059979
                    100,                0.66968,                0.48327,                 1.0287,                0.74758,                0.51658,                 1.0437,                0.83307,                 0.7596,                0.84846,                0.65319,                0.83734,                 0.5842,                 1.0873,                0.89379,                0.72717,                 1.0743,             0.00058878,             0.00058878,             0.00058878
